20240103.20.07.42.557 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.558 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.559 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.560 [main] INFO  org.example.Main - Hello, Log4j!
