20240103.20.07.42.526 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.527 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.528 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.528 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.528 [main] INFO  org.example.Main - Hello, Log4j!
20240103.20.07.42.528 [main] INFO  org.example.Main - Hello, Log4j!
